Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Thu Nov 14 12:19:42 2019] 127.0.0.1:53513 [200]: /css/app.css
[Thu Nov 14 12:19:42 2019] 127.0.0.1:53515 [200]: /js/app.js
[Thu Nov 14 12:19:42 2019] 127.0.0.1:53516 [200]: /favicon.ico
[Thu Nov 14 12:19:50 2019] 127.0.0.1:53522 [200]: /favicon.ico
[Thu Nov 14 12:20:03 2019] 127.0.0.1:53526 [200]: /favicon.ico
PS C:\xampp\htdocs\blog> php artisan migrate:refresh --seed
Rolling back: 2019_11_13_160337_create_article_category_table
Rolled back:  2019_11_13_160337_create_article_category_table (0.15 seconds)
Rolling back: 2019_11_12_122106_create_categories_table
Rolled back:  2019_11_12_122106_create_categories_table (0.01 seconds)
Rolling back: 2019_11_12_112022_create_articles_table
Rolled back:  2019_11_12_112022_create_articles_table (0.02 seconds)
Rolling back: 2019_08_19_000000_create_failed_jobs_table
Rolled back:  2019_08_19_000000_create_failed_jobs_table (0.01 seconds)
Rolling back: 2014_10_12_100000_create_password_resets_table
Rolled back:  2014_10_12_100000_create_password_resets_table (0.01 seconds)
Rolling back: 2014_10_12_000000_create_users_table
Rolled back:  2014_10_12_000000_create_users_table (0.01 seconds)
Migrating: 2014_10_12_000000_create_users_table
Migrated:  2014_10_12_000000_create_users_table (0.1 seconds)
Migrating: 2014_10_12_100000_create_password_resets_table
Migrated:  2014_10_12_100000_create_password_resets_table (0.09 seconds)
Migrating: 2019_08_19_000000_create_failed_jobs_table
Migrated:  2019_08_19_000000_create_failed_jobs_table (0.04 seconds)
Migrating: 2019_11_12_112022_create_articles_table
Migrated:  2019_11_12_112022_create_articles_table (0.18 seconds)
Migrating: 2019_11_12_122106_create_categories_table
Migrated:  2019_11_12_122106_create_categories_table (0.04 seconds)
Migrating: 2019_11_13_160337_create_article_category_table
Migrated:  2019_11_13_160337_create_article_category_table (0.05 seconds)
Seeding: UsersTableSeeder
Seeded:  UsersTableSeeder (0.94 seconds)
Seeding: CategoriesTableSeeder
Seeded:  CategoriesTableSeeder (0.04 seconds)
Seeding: ArticlesTableSeeder
Seeded:  ArticlesTableSeeder (1.08 seconds)
Database seeding completed successfully.
PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Thu Nov 14 12:30:40 2019] 127.0.0.1:53681 [200]: /css/app.css
[Thu Nov 14 12:30:40 2019] 127.0.0.1:53684 [200]: /css/blog-home.css
[Thu Nov 14 12:30:41 2019] 127.0.0.1:53691 [200]: /js/app.js
