Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 10:34:13 2019] 127.0.0.1:51623 [200]: /favicon.ico
[Wed Nov 13 10:34:17 2019] 127.0.0.1:51626 [200]: /js/app.js
[Wed Nov 13 10:34:17 2019] 127.0.0.1:51629 [200]: /css/app.css
[Wed Nov 13 10:34:17 2019] 127.0.0.1:51630 [200]: /favicon.ico
[Wed Nov 13 10:34:21 2019] 127.0.0.1:51632 [200]: /js/app.js
[Wed Nov 13 10:34:21 2019] 127.0.0.1:51634 [200]: /css/app.css
[Wed Nov 13 10:34:21 2019] 127.0.0.1:51635 [200]: /favicon.ico
[Wed Nov 13 10:34:24 2019] 127.0.0.1:51637 [200]: /js/app.js
[Wed Nov 13 10:34:24 2019] 127.0.0.1:51640 [200]: /css/app.css
[Wed Nov 13 10:34:24 2019] 127.0.0.1:51642 [200]: /favicon.ico
[Wed Nov 13 10:34:53 2019] 127.0.0.1:51647 [200]: /js/app.js
[Wed Nov 13 10:34:53 2019] 127.0.0.1:51650 [200]: /css/app.css
[Wed Nov 13 10:34:53 2019] 127.0.0.1:51651 [200]: /favicon.ico
[Wed Nov 13 10:34:56 2019] 127.0.0.1:51653 [200]: /css/app.css
[Wed Nov 13 10:34:56 2019] 127.0.0.1:51657 [200]: /css/blog-home.css
[Wed Nov 13 10:34:56 2019] 127.0.0.1:51662 [200]: /js/app.js
[Wed Nov 13 10:34:58 2019] 127.0.0.1:51670 [200]: /css/blog-post.css
[Wed Nov 13 10:34:58 2019] 127.0.0.1:51678 [200]: /css/app.css
[Wed Nov 13 10:34:58 2019] 127.0.0.1:51679 [200]: /js/app.js
[Wed Nov 13 10:34:58 2019] 127.0.0.1:51680 [200]: /favicon.ico
[Wed Nov 13 10:35:05 2019] 127.0.0.1:51685 [200]: /css/blog-post.css
[Wed Nov 13 10:35:05 2019] 127.0.0.1:51688 [200]: /css/app.css
[Wed Nov 13 10:35:05 2019] 127.0.0.1:51689 [200]: /js/app.js
